UTC,timestamp,kW-1,kW-2,kW-3,kW-4,kW-5,kW-6,kW-7,kW-8,kW-9,kW-10
1422908700,2/2/2015 15:25,0.67315,1.123183333,1.06295,79.12143333,3.294916667,0.33005,2.49435,2.599116667,0,0.2686
1422908760,2/2/2015 15:26,0.732566667,1.102616667,1.134983333,78.86688333,2.755833333,0.331033333,2.860933333,2.19665,0,0.258533333
1422908820,2/2/2015 15:27,0.845833333,0.857533333,1.168116667,78.46438333,2.840433333,0.330566667,2.6833,1.96445,0,0.259733333
1422908880,2/2/2015 15:28,0.870366667,0.774483333,1.1851,78.07891667,3.0229,0.32965,2.553166667,2.031916667,0,0.271766667
1422908940,2/2/2015 15:29,0.837733333,0.788083333,1.2013,77.78108333,2.926133333,0.329083333,2.398283333,1.998133333,0,0.274316667
1422909000,2/2/2015 15:30,0.79535,0.81635,1.2148,77.70545,2.583716667,0.328666667,2.286316667,1.74745,0,0.264083333
1422909060,2/2/2015 15:31,0.7781,0.94255,1.234016667,77.9283,2.431683333,0.329733333,2.125366667,1.662416667,0,0.276366667
1422909120,2/2/2015 15:32,0.7296,1.03115,1.288916667,78.0705,2.267516667,0.331116667,2.111866667,1.641016667,0,0.276633333
1422909180,2/2/2015 15:33,0.697433333,1.239866667,1.321933333,77.85098333,2.160333333,0.3315,2.1526,1.6995,0,0.2773
1422909240,2/2/2015 15:34,0.714866667,1.123583333,1.3389,77.62875,2.3098,0.3316,2.236466667,1.75045,0,0.2758
1422909300,2/2/2015 15:35,0.787266667,0.9533,1.346933333,77.4926,2.39705,0.331083333,2.211216667,1.812983333,0,0.2793
1422909360,2/2/2015 15:36,0.8077,0.92795,1.355616667,77.41018333,2.34075,0.331566667,2.258866667,1.93125,0,0.26715
1422909420,2/2/2015 15:37,0.792983333,0.902,1.363333333,77.52385,2.37755,0.33235,2.3025,2.053116667,0,0.27115
1422909480,2/2/2015 15:38,0.788433333,1.068383333,1.37105,77.74338333,2.355066667,0.3328,2.274933333,2.116566667,0,0.28415
1422909540,2/2/2015 15:39,0.737883333,0.845083333,1.381966667,78.0096,2.434166667,0.333116667,2.2732,2.106883333,0,0.284916667
1422909600,2/2/2015 15:40,0.681983333,0.938983333,1.395,78.03861667,2.548716667,0.333116667,2.2761,2.158483333,0,0.283516667
1422909660,2/2/2015 15:41,0.65595,0.816733333,1.40305,77.69363333,2.539633333,0.333366667,2.15995,2.268916667,0,0.278566667
1422909720,2/2/2015 15:42,0.71105,0.832833333,1.4004,77.13981667,2.436066667,0.334066667,2.199816667,2.309466667,0,0.289766667
1422909780,2/2/2015 15:43,0.760366667,0.863916667,1.398833333,76.6279,2.435966667,0.334566667,2.2659,2.36935,0,0.2942
1422909840,2/2/2015 15:44,0.747983333,0.927683333,1.405416667,76.04711667,2.557233333,0.335033333,2.1804,2.30195,0,0.2922
1422909900,2/2/2015 15:45,0.725833333,0.896083333,1.414566667,75.58788333,2.536283333,0.336083333,2.165183333,2.218816667,0,0.288416667
1422909960,2/2/2015 15:46,0.705816667,0.8987,1.423066667,75.30391667,2.571666667,0.335866667,2.120683333,2.247616667,0,0.279116667
1422910020,2/2/2015 15:47,0.6908,0.936133333,1.424,75.1153,2.376516667,0.336266667,2.199716667,2.301116667,0,0.2752
1422910080,2/2/2015 15:48,0.71775,0.76305,1.425166667,74.97525,2.435016667,0.337033333,2.277916667,2.302916667,0,0.292783333
1422910140,2/2/2015 15:49,0.701483333,0.550816667,1.432516667,74.90716667,2.464983333,0.33795,2.34235,2.347066667,0,0.293283333
1422910200,2/2/2015 15:50,0.68085,0.460116667,1.4319,74.59715,2.628683333,0.337283333,2.3919,2.140483333,0,0.293166667
1422910260,2/2/2015 15:51,0.707483333,0.389516667,1.427633333,74.28116667,2.67965,0.3368,2.280083333,1.918316667,0,0.284066667
1422910320,2/2/2015 15:52,0.7258,0.345033333,1.423783333,74.01466667,2.718616667,0.335883333,2.190433333,2.093483333,0,0.29545
1422910380,2/2/2015 15:53,0.754666667,0.342266667,1.425083333,73.72275,2.530816667,0.335816667,2.250116667,1.834166667,0,0.2961
1422910440,2/2/2015 15:54,0.789833333,0.3796,1.427566667,73.57656667,2.442133333,0.336566667,2.171933333,2.083266667,0,0.296083333
1422910500,2/2/2015 15:55,0.802983333,0.435933333,1.431216667,73.46055,2.512833333,0.337483333,2.053133333,2.01145,0,0.296366667
1422910560,2/2/2015 15:56,0.770483333,0.509633333,1.427883333,73.36393333,2.51165,0.33705,2.082333333,1.981166667,0,0.2985
1422910620,2/2/2015 15:57,0.705833333,0.64135,1.425566667,73.32601667,2.3805,0.336766667,2.205233333,2.089116667,0,0.285016667
1422910680,2/2/2015 15:58,0.673666667,0.833866667,1.42305,73.45653333,2.439366667,0.33645,2.2336,2.193333333,0,0.286633333
1422910740,2/2/2015 15:59,0.62605,0.860783333,1.422566667,73.7352,2.562933333,0.33755,2.2125,2.17795,0,0.30155
1422910800,2/2/2015 16:00,0.627633333,0.81985,1.421183333,74.04895,2.606533333,0.337016667,2.16225,2.0886,0,0.302983333
1422910860,2/2/2015 16:01,0.6272,0.74025,1.422016667,74.2448,2.561333333,0.3372,2.176166667,2.072616667,0,0.293616667
1422910920,2/2/2015 16:02,0.67605,0.707933333,1.421216667,74.21875,2.578683333,0.337966667,2.08275,2.08655,0,0.306666667
1422910980,2/2/2015 16:03,0.700633333,0.7617,1.422266667,74.00861667,2.516916667,0.339616667,2.039516667,1.956616667,0,0.3052
1422911040,2/2/2015 16:04,0.747216667,0.789116667,1.42615,73.69995,2.531533333,0.340516667,1.9807,2.02075,0,0.3072
1422911100,2/2/2015 16:05,0.869033333,0.819883333,1.42395,73.48348333,2.395933333,0.340766667,1.953233333,2.075383333,0,0.306683333
1422911160,2/2/2015 16:06,0.922983333,0.756933333,1.42205,73.40055,2.338533333,0.34145,1.8994,2.046266667,0,0.3071
1422911220,2/2/2015 16:07,1.156766667,0.703283333,1.417583333,72.69391667,2.295283333,0.3414,1.91325,2.009366667,0,0.293383333
1422911280,2/2/2015 16:08,1.058583333,0.67095,1.420833333,71.85345,2.329483333,0.341083333,1.866016667,2.02015,0,0.297533333
1422911340,2/2/2015 16:09,1.061016667,0.64875,1.42515,71.17551667,2.231166667,0.3417,1.7627,2.033916667,0,0.30615
1422911400,2/2/2015 16:10,1.169766667,0.73405,1.427433333,70.74191667,2.142716667,0.343383333,1.7038,1.888366667,0,0.305716667
1422911460,2/2/2015 16:11,1.08065,0.636866667,1.4328,70.53353333,1.958366667,0.34435,1.67205,1.846716667,0,0.305866667
1422911520,2/2/2015 16:12,0.926883333,0.7028,1.436916667,70.39121667,1.86605,0.345416667,1.656183333,1.777583333,0,0.298116667
1422911580,2/2/2015 16:13,0.782716667,0.838,1.441516667,70.42566667,1.9386,0.347283333,1.714633333,1.761633333,0,0.309366667
1422911640,2/2/2015 16:14,0.663966667,0.810666667,1.452183333,70.77071667,1.893666667,0.351366667,1.814566667,1.764716667,0,0.310816667
1422911700,2/2/2015 16:15,0.65365,0.744966667,1.466483333,71.18295,1.989383333,0.3575,1.819683333,1.7521,0,0.31125
1422911760,2/2/2015 16:16,0.594966667,0.63645,1.4782,71.69945,2.1223,0.366616667,1.89825,1.737333333,0,0.312
